alphap,meanE,varE,skewE,kurtE,K
1.413716694,39.61494835,63.91567055,-1.324451565,3.870042309,-0.32
1.413716694,39.11499385,62.27868757,-1.321275265,4.01537,-0.32
1.413716694,38.45437967,59.58441289,-1.351224913,4.240059724,-0.32
1.413716694,37.79218948,57.70948942,-1.257691703,4.315232934,-0.32
1.413716694,36.58037525,52.15835926,-1.15483858,4.23619611,-0.32
1.413716694,35.44022407,47.11809437,-1.151711762,4.239977131,-0.32
1.413716694,34.46900068,43.81098009,-1.143634226,4.088611447,-0.32
1.413716694,33.65922572,42.32376745,-1.10314584,3.739908868,-0.32
1.413716694,33.07977666,40.86128382,-1.16489173,3.56254889,-0.32
1.413716694,32.2217467,36.3576852,-1.322027036,3.569423302,-0.32
1.413716694,31.92679539,34.59271331,-1.361940951,3.556801498,-0.32
1.413716694,31.20780712,30.79992047,-1.348153348,3.536421374,-0.32
1.413716694,30.40247382,27.09171068,-1.327923956,3.513972209,-0.32
1.413716694,29.42668336,22.66517966,-1.35631422,3.600523329,-0.32
1.413716694,28.76596576,20.6859719,-1.311245676,3.489304536,-0.32
1.413716694,28.04070231,18.56196037,-1.273765985,3.411168805,-0.32
1.413716694,27.3062401,16.60950174,-1.233385098,3.33589122,-0.32
1.413716694,26.56912567,14.8469479,-1.189663796,3.258605136,-0.32
1.413716694,25.82641279,13.25133635,-1.143906488,3.17764548,-0.32
1.413716694,25.07920754,11.84110061,-1.093201368,3.083742609,-0.32
1.413716694,24.3333801,10.69810058,-1.022237814,2.948980237,-0.32
1.413716694,23.54016303,9.721273303,-0.916523051,2.753211461,-0.32
1.413716694,22.87504187,6.926547976,-1.356630371,4.072071331,-0.32
1.413716694,22.42457793,5.583348414,-1.621315542,5.326708786,-0.32
1.413716694,21.79949812,4.393015004,-1.861667893,6.638102693,-0.32
1.413716694,21.14123432,3.472118685,-2.091590877,8.013472228,-0.32
1.413716694,20.47921482,2.743128187,-2.344147565,9.52780523,-0.32
1.413716694,19.81840395,2.150346422,-2.63471949,11.21364986,-0.32
