K,alphap,meanE,varE,skewE,kurtE
-0.06,1.413716694,42.08694679,74.06704726,-1.598884875,4.114976091
-0.06,1.413716694,40.9623781,68.01236897,-1.593113995,4.139005473
-0.06,1.413716694,39.7434012,61.42145003,-1.601323665,4.206341803
-0.06,1.413716694,38.32851981,53.95328583,-1.606071424,4.318500162
-0.06,1.413716694,37.20391388,48.78648462,-1.631265239,4.42084245
-0.06,1.413716694,36.07794403,44.20120321,-1.635557328,4.488229873
-0.06,1.413716694,34.88855096,39.40852827,-1.649190216,4.57757856
-0.06,1.413716694,33.50173729,33.6985613,-1.674151225,4.729736291
-0.06,1.413716694,32.41435511,29.96228682,-1.693567728,4.761654088
-0.06,1.413716694,31.3603652,26.71120804,-1.685425569,4.709231441
-0.06,1.413716694,30.27733908,23.43983206,-1.676964579,4.648364719
-0.06,1.413716694,28.99446874,19.30591711,-1.709196283,4.719636944
-0.06,1.413716694,28.10766566,17.38079916,-1.666158113,4.513304027
-0.06,1.413716694,27.24460659,15.68675768,-1.610534114,4.283078007
-0.06,1.413716694,26.38811626,14.1635029,-1.538047734,4.04067824
-0.06,1.413716694,25.5081577,12.62704562,-1.466023839,3.83735054
-0.06,1.413716694,24.62152493,11.21273793,-1.358596109,3.656838924
-0.06,1.413716694,23.73064507,9.435413065,-1.383454916,3.774522068
-0.06,1.413716694,22.92705508,7.979354754,-1.426360567,4.06810209
-0.06,1.413716694,22.14782749,6.697446911,-1.49067138,4.65994864
-0.06,1.413716694,21.34582857,5.49387643,-1.614837954,5.766675977
-0.06,1.413716694,20.49916766,4.390431608,-1.796592225,7.59786504
-0.06,1.413716694,19.6806142,3.508316849,-2.03957027,9.799915072
-0.06,1.413716694,18.93561567,3.013341188,-2.019226528,9.967285944
-0.06,1.413716694,18.17739354,2.679956545,-1.760183582,8.042413436
-0.06,1.413716694,17.35650999,2.370739209,-1.50794218,6.084460029
-0.06,1.413716694,16.51454848,2.162093504,-1.303960052,5.336255736
-0.06,1.413716694,15.60279131,1.877492802,-1.227937601,7.32704638
-0.06,1.413716694,14.66215832,1.658629453,-0.780484286,11.16982164
-0.06,1.413716694,13.66119094,1.603117345,0.545206203,14.56702512
-0.06,1.413716694,12.80087318,1.804437091,1.385807295,18.4598546
-0.06,1.413716694,11.70788643,1.971914133,2.845749732,26.31271749
-0.06,1.413716694,10.38885764,2.281726581,4.441553158,35.75692174
-0.06,1.413716694,8.927182857,2.812561016,5.649652599,42.89844394
