K,alphap,meanE,varE,skewE,kurtE,class
0.2,1.413716694,46.67948341,102.5850554,-1.695984618,4.596139764,one
0.2,1.413716694,44.57383804,87.93009796,-1.669133907,4.653939369,one
0.2,1.413716694,42.61971199,75.46613161,-1.68199014,4.648980575,one
0.2,1.413716694,41.09137689,69.08561041,-1.550604958,4.433194513,one
0.2,1.413716694,39.31755589,58.51550703,-1.572667911,4.554672679,one
0.2,1.413716694,37.51025857,48.87510258,-1.58925863,4.637983266,one
0.2,1.413716694,36.1927458,45.39215595,-1.412792394,4.242454283,one
0.2,1.413716694,34.76200447,39.6737863,-1.347159916,4.156651032,one
0.2,1.413716694,33.19143731,31.70499391,-1.479975167,4.433867938,one
0.2,1.413716694,31.73555096,27.60770848,-1.307103778,4.180287092,one
0.2,1.413716694,30.75632678,26.00811783,-1.139830762,3.789193054,one
0.2,1.413716694,29.80135042,23.08943748,-1.135205486,3.761529104,one
0.2,1.413716694,28.85677293,19.42828615,-1.248815182,4.084494516,one
0.2,1.413716694,27.62945331,16.32551262,-1.239794469,3.915440495,one
0.2,1.413716694,26.44700387,12.75083725,-1.402225575,4.23298214,one
0.2,1.413716694,25.50346776,10.26103645,-1.591419818,4.753566847,one
0.2,1.413716694,24.47830445,8.536392516,-1.629969618,4.674178183,one
0.2,1.413716694,23.77999215,7.696333225,-1.598832604,4.669585925,one
0.2,1.413716694,23.19373609,7.808959563,-1.299581471,3.998405225,one
0.2,1.413716694,22.326806,6.540773311,-1.311296107,4.13821867,one
0.2,1.413716694,21.51593365,5.291541859,-1.439508377,4.742713587,one
0.2,1.413716694,20.68024076,4.543478696,-1.450734183,4.920467545,one
0.2,1.413716694,19.8703461,3.763340705,-1.587807554,5.762706307,one
0.2,1.413716694,19.00203225,2.949038619,-1.904052438,7.498046841,one
0.2,1.413716694,18.24472423,2.587971299,-2.052936048,8.721968677,one
0.2,1.413716694,17.42543517,2.209697907,-2.253690255,10.38143185,one
0.2,1.413716694,16.5078819,1.805917777,-2.380188205,12.34077235,one
0.2,1.413716694,15.68572995,1.68920559,-1.895886441,11.29482068,one
0.2,1.413716694,14.79332532,1.60746702,-0.993419856,10.41584543,one
0.2,1.413716694,13.86553983,1.639360506,0.069440073,12.24889181,one
0.2,1.413716694,12.97934274,1.700899053,1.17881712,17.94397353,one
0.2,1.413716694,12.02757663,1.82269172,2.480525604,25.59479542,one
0.2,1.413716694,11.10722747,1.990351247,3.831269393,33.57690515,one
0.2,1.413716694,10.37868278,2.220119665,4.647056279,38.87862829,one
0.2,1.413716694,9.941861729,2.352360585,5.390251116,44.33976253,one
0.2,1.413716694,9.915236688,2.607654859,5.09847644,40.10813172,one
0.2,1.413716694,10.35272542,2.711260565,4.685535106,35.47301278,one
0.2,1.413716694,10.32490234,2.016418508,7.996069257,70.90275714,one
0.2,1.413716694,11.03816542,1.843897813,8.153040064,73.90547047,one
0.2,1.413716694,11.62411759,1.726907238,8.268232371,76.19511021,one
0.2,1.413716694,12.11318505,1.649084044,8.33890899,77.69575812,one
0.2,1.413716694,12.53697836,1.596433377,8.3694202,78.46360399,one
0.2,1.413716694,12.9783693,1.54567161,8.335015649,78.38003713,one
0.2,1.413716694,14.62173524,4.475464655,1.715515753,7.031597538,one
0.2,1.413716694,16.25985124,6.741104064,0.396897784,2.413392625,one
0.2,1.413716694,17.0731473,7.833581694,0.184182666,1.877102747,one
0.2,1.413716694,16.92672793,8.972251548,0.886815304,2.532056035,one
0.2,1.413716694,18.7837075,10.50620675,0.112569482,1.671245051,one
0.2,1.413716694,18.84738842,12.93680201,0.260788996,1.444804156,one
0.2,1.413716694,19.85739359,15.76455198,0.131215973,1.342076419,one
0.2,1.413716694,20.71576703,19.31034605,0.076652266,1.287694148,one
0.2,1.413716694,22.09705989,21.74260312,-0.103941555,1.362172502,one
0.2,1.413716694,22.54410165,25.93259096,0.028690374,1.298510704,one
0.2,1.413716694,23.83755604,33.37167101,-0.033936865,1.277724104,one
0.2,1.413716694,24.98990697,37.94846629,-0.067927242,1.322853908,one
0.2,1.413716694,26.69202768,51.50775755,-0.061740262,1.307756496,one
0.2,1.413716694,27.32414414,54.20527006,0.130684049,1.437727056,one
0.2,1.413716694,28.50741953,59.57790227,0.168582596,1.514012788,one
0.2,1.413716694,31.36648858,65.5285442,-0.305775487,1.508415037,one
0.2,1.413716694,31.76412494,86.27514248,0.036001885,1.41249842,one
0.2,1.413716694,32.90573597,109.8735203,-0.022332923,1.317736826,one
0.2,1.413716694,34.47088375,134.4464723,0.016978723,1.30450878,one
0.2,1.413716694,36.72702017,150.1081261,-0.054464991,1.393389129,one
0.2,1.413716694,38.00816638,173.0950995,0.107676973,1.503123417,one
0.2,1.413716694,39.65616473,196.2709997,0.220014492,1.60989758,one
0.2,1.413716694,41.04418674,207.8849052,0.226966961,1.586412374,one
0.2,1.413716694,43.95241477,248.6207524,0.132105437,1.506445016,one
0.2,1.413716694,49.78874257,283.3880742,-0.237010849,1.679268372,one
0.2,1.413716694,51.60452349,304.1984257,-0.228003009,1.693569398,one
0.2,1.413716694,54.85530795,330.8341977,-0.406190104,1.770461711,one
0.2,1.413716694,58.36820281,404.0676879,-0.35032091,1.800378943,one
0.2,1.413716694,59.69566881,407.5647568,-0.433026082,1.821767567,one
0.2,1.413716694,61.76323887,428.4543631,-0.47763015,1.923467308,one
0.2,1.413716694,63.1890068,462.5352277,-0.357502884,2.053409949,one
0.2,1.413716694,63.57964266,434.3820046,-0.421754888,2.302229034,one
0.2,1.413716694,64.61831675,412.1092331,-0.599606663,2.574245526,one
0.2,1.413716694,62.55990007,280.1173101,-1.357181205,3.618336806,one
0.2,1.413716694,61.95624958,261.5813311,-1.43793558,3.878838546,one
0.2,1.413716694,63.08999763,277.7469542,-1.460845846,3.882086632,one
0.2,1.413716694,63.50791399,270.7188488,-1.650397423,4.228112255,one
0.2,1.413716694,63.14016296,272.0457019,-1.573770316,4.10811647,one
0.2,1.413716694,62.71867447,260.6144857,-1.682474283,4.296080301,one
0.2,1.413716694,60.94246285,232.1759346,-1.778062026,4.519034854,one
0.2,1.413716694,59.96472762,226.1936976,-1.706264081,4.383516642,one
0.2,1.413716694,58.43710804,208.8531701,-1.710800532,4.429406918,one
0.2,1.413716694,56.16235476,181.3491174,-1.766981555,4.580988907,one
0.2,1.413716694,54.18464377,162.7399664,-1.748775887,4.57743181,one
0.2,1.413716694,52.35100085,146.1000546,-1.748956768,4.612351949,one
0.2,1.413716694,49.85599824,121.0438995,-1.849063492,4.87685889,one
0.2,1.413716694,48.2425622,112.3300053,-1.741602572,4.667733614,one
0.2,1.413716694,46.67948341,102.5850554,-1.695984618,4.596139764,one
0.2,1.413716694,44.57383804,87.93009796,-1.669133907,4.653939369,one
0.2,1.413716694,42.61971199,75.46613161,-1.68199014,4.648980575,one
0.2,1.413716694,41.09137689,69.08561041,-1.550604958,4.433194512,one
0.2,1.413716694,39.31755589,58.51550704,-1.572667911,4.554672679,one
0.2,1.413716694,37.51025857,48.87510257,-1.58925863,4.637983266,one
0.2,1.413716694,36.1927458,45.39215595,-1.412792394,4.242454283,one
0.2,1.413716694,34.76200447,39.6737863,-1.347159916,4.156651033,one
0.2,1.413716694,33.19143731,31.70499392,-1.479975166,4.433867937,one
0.2,1.413716694,31.73555096,27.60770849,-1.307103778,4.18028709,one
0.2,1.413716694,30.75632678,26.00811784,-1.139830761,3.789193054,one
0.2,1.413716694,29.80135042,23.08943748,-1.135205486,3.761529105,one
0.2,1.413716694,28.85677293,19.42828614,-1.248815182,4.084494517,one
0.2,1.413716694,27.62945331,16.32551262,-1.239794469,3.915440495,one
0.2,1.413716694,26.44700387,12.75083725,-1.402225575,4.232982139,one
0.2,1.413716694,25.50346776,10.26103645,-1.591419818,4.753566848,one
0.2,1.413716694,24.47830445,8.536392515,-1.629969618,4.674178183,one
0.2,1.413716694,23.77999215,7.696333225,-1.598832604,4.669585925,one
0.2,1.413716694,23.19373609,7.808959563,-1.299581471,3.998405225,one
0.2,1.413716694,22.326806,6.540773311,-1.311296107,4.13821867,one
0.2,1.413716694,21.51593365,5.291541859,-1.439508377,4.742713587,one
0.2,1.413716694,20.68024073,4.543478726,-1.450734196,4.920467437,one
0.2,1.413716694,19.8703461,3.763340703,-1.587807554,5.76270631,one
0.2,1.413716694,19.00203225,2.949038619,-1.904052438,7.498046843,one
0.2,1.413716694,18.24472423,2.587971299,-2.052936048,8.721968677,one
0.2,1.413716694,17.42543517,2.209697907,-2.253690255,10.38143185,one
0.2,1.413716694,16.50788191,1.805917793,-2.380188195,12.34077222,one
0.2,1.413716694,15.68572995,1.68920559,-1.895886441,11.29482068,one
0.2,1.413716694,14.79332532,1.60746702,-0.993419856,10.41584543,one
0.2,1.413716694,13.86553983,1.639360506,0.069440073,12.24889181,one
0.2,1.413716694,12.97934273,1.70089904,1.178817159,17.94397384,one
0.2,1.413716694,12.02757621,1.82269121,2.480527393,25.59481273,one
0.2,1.413716694,11.10722747,1.990351247,3.831269393,33.57690515,one
0.2,1.413716694,10.37868278,2.220119665,4.647056279,38.87862829,one
0.2,1.413716694,9.941861675,2.352360595,5.390251187,44.33976291,one
0.2,1.413716694,9.91523659,2.607654874,5.098476557,40.10813249,one
0.2,1.413716694,10.35272542,2.711260565,4.685535106,35.47301278,one
0.2,1.413716694,10.32490147,2.016418879,7.996068869,70.90275088,one
0.2,1.413716694,11.03816542,1.843897813,8.153040064,73.90547047,one
0.2,1.413716694,11.62411759,1.726907238,8.268232371,76.19511021,one
0.2,1.413716694,12.11318505,1.649084044,8.33890899,77.69575812,one
0.2,1.413716694,12.53697836,1.596433377,8.3694202,78.46360399,one
0.2,1.413716694,12.9783693,1.54567161,8.335015649,78.38003713,one
0.2,1.413716694,14.62173524,4.475464655,1.715515753,7.031597538,one
0.2,1.413716694,16.25985124,6.741104064,0.396897784,2.413392625,one
0.2,1.413716694,17.0731473,7.833581694,0.184182666,1.877102747,one
0.2,1.413716694,16.92672793,8.972251547,0.886815304,2.532056035,one
0.2,1.413716694,18.7837075,10.50620675,0.112569482,1.671245051,one
0.2,1.413716694,18.84738842,12.93680201,0.260788996,1.444804156,one
0.2,1.413716694,19.85739359,15.76455198,0.131215973,1.342076419,one
0.2,1.413716694,20.71576703,19.31034605,0.076652266,1.287694148,one
0.2,1.413716694,22.09705989,21.74260312,-0.103941555,1.362172502,one
0.2,1.413716694,22.54410165,25.93259096,0.028690374,1.298510704,one
0.2,1.413716694,23.83755604,33.37167101,-0.033936865,1.277724104,one
0.2,1.413716694,24.98990697,37.94846629,-0.067927242,1.322853908,one
0.2,1.413716694,26.69202768,51.50775755,-0.061740262,1.307756496,one
0.2,1.413716694,27.32414414,54.20527006,0.130684049,1.437727056,one
0.2,1.413716694,28.50741953,59.57790227,0.168582596,1.514012788,one
0.2,1.413716694,31.36648858,65.5285442,-0.305775487,1.508415037,one
0.2,1.413716694,31.76412494,86.27514248,0.036001885,1.41249842,one
0.2,1.413716694,32.90573597,109.8735203,-0.022332923,1.317736826,one
0.2,1.413716694,34.47088375,134.4464723,0.016978723,1.30450878,one
0.2,1.413716694,36.72702017,150.1081261,-0.054464991,1.393389129,one
0.2,1.413716694,38.00816638,173.0950995,0.107676973,1.503123417,one
0.2,1.413716694,39.65616473,196.2709997,0.220014492,1.60989758,one
0.2,1.413716694,41.04418674,207.8849052,0.226966961,1.586412374,one
0.2,1.413716694,43.95241477,248.6207524,0.132105437,1.506445016,one
0.2,1.413716694,49.78874257,283.3880742,-0.237010849,1.679268372,one
0.2,1.413716694,51.60452349,304.1984257,-0.228003009,1.693569398,one
0.2,1.413716694,54.85530795,330.8341977,-0.406190104,1.770461711,one
0.2,1.413716694,58.36820281,404.0676879,-0.35032091,1.800378943,one
0.2,1.413716694,59.69566881,407.5647568,-0.433026082,1.821767567,one
0.2,1.413716694,61.76323887,428.4543631,-0.47763015,1.923467308,one
0.2,1.413716694,63.1890068,462.5352277,-0.357502884,2.053409949,one
0.2,1.413716694,63.57964266,434.3820046,-0.421754888,2.302229034,one
0.2,1.413716694,64.61831675,412.1092331,-0.599606663,2.574245526,one
0.2,1.413716694,62.55990007,280.1173101,-1.357181205,3.618336806,one
0.2,1.413716694,61.95624958,261.5813311,-1.43793558,3.878838546,one
0.2,1.413716694,63.08999763,277.7469542,-1.460845846,3.882086632,one
0.2,1.413716694,63.50791399,270.7188488,-1.650397423,4.228112255,one
0.2,1.413716694,63.14016296,272.0457019,-1.573770316,4.10811647,one
0.2,1.413716694,62.71867447,260.6144857,-1.682474283,4.296080301,one
0.2,1.413716694,60.94246285,232.1759346,-1.778062026,4.519034854,one
0.2,1.413716694,59.96472762,226.1936976,-1.706264081,4.383516642,one
0.2,1.413716694,58.43710804,208.8531701,-1.710800532,4.429406918,one
0.2,1.413716694,56.16235476,181.3491174,-1.766981555,4.580988907,one
0.2,1.413716694,54.18464377,162.7399664,-1.748775887,4.57743181,one
0.2,1.413716694,52.35100085,146.1000546,-1.748956768,4.612351949,one
0.2,1.413716694,49.85599824,121.0438995,-1.849063492,4.87685889,one
0.2,1.413716694,48.2425622,112.3300053,-1.741602572,4.667733614,one
0.2,1.413716694,46.67948341,102.5850554,-1.695984618,4.596139764,one
0.21,1.413716694,46.6468455,101.5904118,-1.708207567,4.640433191,one
0.21,1.413716694,44.55137285,84.67632344,-1.812387011,4.896277543,one
0.21,1.413716694,42.40995923,72.93476308,-1.721338932,4.747631282,one
0.21,1.413716694,41.04433151,67.59394332,-1.609306594,4.526466124,one
0.21,1.413716694,39.60653812,62.31220919,-1.448872717,4.308352979,one
0.21,1.413716694,37.66628668,49.32847035,-1.605409003,4.694312839,one
0.21,1.413716694,36.29682253,46.83852957,-1.338235249,4.10784375,one
0.21,1.413716694,34.88359519,41.13101016,-1.276905948,4.000511227,one
0.21,1.413716694,33.27357435,32.98695696,-1.380538539,4.200822272,one
0.21,1.413716694,31.7825387,25.90825102,-1.48982443,4.699696707,one
0.21,1.413716694,30.90044934,27.8527855,-1.004417986,3.535972223,one
0.21,1.413716694,29.89705876,24.45651798,-1.014464815,3.513279118,one
0.21,1.413716694,28.92745715,20.32794555,-1.144734783,3.841157212,one
0.21,1.413716694,27.63405597,16.35967786,-1.220694105,3.861035622,one
0.21,1.413716694,26.42305275,12.73961869,-1.361545491,4.144306554,one
0.21,1.413716694,25.50351956,10.31683912,-1.543929783,4.617910538,one
0.21,1.413716694,24.5055565,8.502772186,-1.632141775,4.667469293,one
0.21,1.413716694,23.82454483,7.845075936,-1.544927029,4.504248658,one
0.21,1.413716694,23.27119869,7.878806289,-1.290693727,3.998018076,one
0.21,1.413716694,22.40190835,6.722666806,-1.270807993,4.002347564,one
0.21,1.413716694,21.54834669,5.368918234,-1.389087367,4.553025825,one
0.21,1.413716694,20.74036472,4.738795745,-1.452613434,4.572973007,one
0.21,1.413716694,19.90870811,3.739400921,-1.582711107,5.656048486,one
0.21,1.413716694,19.1177979,3.1298598,-1.761255633,6.716812108,one
0.21,1.413716694,18.27892676,2.545015835,-2.035738735,8.403662939,one
0.21,1.413716694,17.50818942,2.258141334,-2.128961363,9.390034841,one
0.21,1.413716694,16.63186927,1.894381227,-2.20076365,10.72567199,one
0.21,1.413716694,15.77095425,1.68185711,-1.873015998,10.72524215,one
0.21,1.413716694,14.90869494,1.615540432,-1.044765777,10.02357477,one
0.21,1.413716694,14.03455483,1.612712246,-0.052780441,12.03178944,one
0.21,1.413716694,13.14971251,1.681890875,1.058858028,17.03555686,one
0.21,1.413716694,12.26381037,1.803267803,2.256632859,23.7929645,one
0.21,1.413716694,11.36396517,1.903232057,3.745033799,33.37216412,one
0.21,1.413716694,10.7388786,2.161110003,4.307908012,36.24256087,one
0.21,1.413716694,10.37211258,2.327680178,4.80897577,39.3000255,one
0.21,1.413716694,10.28547339,2.675050981,4.405078838,33.84517687,one
0.21,1.413716694,10.54811907,2.724009619,4.440983835,33.01369239,one
0.21,1.413716694,10.5821003,2.031934564,7.393874479,64.30717239,one
0.21,1.413716694,11.06343759,1.827410097,8.198004474,74.62027222,one
0.21,1.413716694,11.62779457,1.718674689,8.306837459,76.81343272,one
0.21,1.413716694,12.11159887,1.642311287,8.378786553,78.34396316,one
0.21,1.413716694,12.6455715,1.58548666,8.183420632,76.61889899,one
0.21,1.413716694,14.21370959,4.146349293,1.812430644,8.157732251,one
0.21,1.413716694,15.51312189,5.190632524,0.692245961,3.911225291,one
0.21,1.413716694,15.92124574,6.627027207,0.815966649,2.882786161,one
0.21,1.413716694,16.89936272,7.67315543,0.540731762,2.274239558,one
0.21,1.413716694,18.19021332,9.189797098,0.133485978,1.762605439,one
0.21,1.413716694,18.12786228,10.68662722,0.278341997,1.544076176,one
0.21,1.413716694,19.21062121,13.3767279,0.091183301,1.34488865,one
0.21,1.413716694,20.27400695,15.48097859,0.006412889,1.322237934,one
0.21,1.413716694,21.19261292,19.18990595,-0.082909232,1.290142316,one
0.21,1.413716694,22.55781033,18.83962356,-0.25375313,1.578405919,one
0.21,1.413716694,24.09970321,25.51238438,-0.286664265,1.442731837,one
0.21,1.413716694,24.15832865,30.99514912,-0.180624412,1.30968708,one
0.21,1.413716694,25.02749806,39.96347052,-0.075496265,1.275460324,one
0.21,1.413716694,26.41928039,50.17555698,-0.054520515,1.295470803,one
0.21,1.413716694,27.03202347,50.70321249,-0.030355019,1.398748994,one
0.21,1.413716694,28.82000514,65.82950749,-0.107575206,1.300967799,one
0.21,1.413716694,30.00493327,77.85622044,-0.015700677,1.359646998,one
0.21,1.413716694,31.45117606,97.33788982,0.112312545,1.449436279,one
0.21,1.413716694,33.88307991,125.1138716,-0.042112483,1.306985525,one
0.21,1.413716694,35.45656639,145.7584698,-0.030913005,1.299439092,one
0.21,1.413716694,37.57739988,173.174595,-0.022728866,1.318477404,one
0.21,1.413716694,40.14098152,204.8235336,-0.064643393,1.336050116,one
0.21,1.413716694,39.17754968,190.9447579,0.266675895,1.599593079,one
0.21,1.413716694,40.8697093,211.2761612,0.285751275,1.609371998,one
0.21,1.413716694,44.41733105,244.9690487,0.104695884,1.532134571,one
0.21,1.413716694,50.46203374,292.8378027,-0.266944541,1.677085754,one
0.21,1.413716694,52.01284899,308.5398953,-0.230429629,1.712700308,one
0.21,1.413716694,55.42349508,335.9316809,-0.447130749,1.774382471,one
0.21,1.413716694,59.2225038,421.9341503,-0.351272797,1.818373176,one
0.21,1.413716694,60.67560887,432.3242654,-0.422448096,1.81990281,one
0.21,1.413716694,63.22815951,469.6676392,-0.446101668,1.911695426,one
0.21,1.413716694,63.83356853,462.9132313,-0.431249874,2.061225345,one
0.21,1.413716694,64.01414779,438.5948266,-0.442268033,2.319298488,one
0.21,1.413716694,65.09261163,414.0741905,-0.634932226,2.628115655,one
0.21,1.413716694,62.86047103,288.0869712,-1.297851783,3.558109482,one
0.21,1.413716694,62.68936252,269.1757718,-1.472521313,3.931940698,one
0.21,1.413716694,63.79280999,287.919735,-1.458396247,3.872962604,one
0.21,1.413716694,64.22543561,284.9312793,-1.591738204,4.115041779,one
0.21,1.413716694,63.74106492,278.726129,-1.592996649,4.141885663,one
0.21,1.413716694,63.2935998,269.859658,-1.654988385,4.251199767,one
0.21,1.413716694,61.68427778,241.9011418,-1.770137432,4.49857362,one
0.21,1.413716694,60.4523719,231.9103176,-1.70339581,4.39258503,one
0.21,1.413716694,59.01078641,218.0401646,-1.666916821,4.3389335,one
