K,alphap,meanE,varE,skewE,kurtE,class
-0.3,-1.570796327,19.1561858,0.582997891,6.419580961,50.30592439,one
-0.3,-1.553343034,19.86590223,0.526528883,5.420696226,43.50679628,one
-0.3,-1.535889742,22.15867508,6.199742956,1.122995801,2.910365921,one
-0.3,-1.518436449,24.51241218,11.2118169,0.184982788,1.3631419,one
-0.3,-1.500983157,26.35883248,13.60315971,-0.242708004,1.391911978,one
-0.3,-1.483529864,27.85712568,14.53512104,-0.540982061,1.675281223,one
-0.3,-1.466076572,29.57302062,17.68878714,-0.698074763,1.91944445,one
-0.3,-1.448623279,31.08251166,19.95959514,-0.843335983,2.193969034,one
-0.3,-1.431169987,32.55313669,22.41597183,-0.962674736,2.455253063,one
-0.3,-1.413716694,34.23381916,26.61726692,-1.054590649,2.632382226,one
-0.3,-1.396263402,35.94195956,31.87625198,-1.089208769,2.749939033,one
-0.3,-1.378810109,37.79285397,38.61071018,-1.135546113,2.831193256,one
-0.3,-1.361356817,39.73239334,46.83538178,-1.173730523,2.883483251,one
-0.3,-1.343903524,41.76530521,57.29405169,-1.174797903,2.882758655,one
-0.3,-1.326450232,43.86557796,69.86747593,-1.164289752,2.857973665,one
-0.3,-1.308996939,46.06105461,85.12742393,-1.1483864,2.81218352,one
-0.3,-1.291543646,48.3572843,104.0336739,-1.113534151,2.738107558,one
-0.3,-1.274090354,50.61092893,124.7730135,-1.082858233,2.671663584,one
-0.3,-1.256637061,52.96851953,150.1025726,-1.042015721,2.586016795,one
-0.3,-1.239183769,55.3504047,179.4870259,-0.996068087,2.495677855,one
-0.3,-1.221730476,57.658699,211.3432068,-0.952864809,2.413860147,one
-0.3,-1.204277184,59.83244638,244.3042342,-0.914595658,2.344147429,one
-0.3,-1.186823891,61.78985888,275.9789207,-0.884752895,2.291016164,one
-0.3,-1.169370599,63.52030942,305.5015965,-0.861538612,2.250966511,one
-0.3,-1.151917306,65.00364969,331.6498841,-0.845577597,2.223149429,one
-0.3,-1.134464014,66.25281391,354.1640462,-0.836278281,2.204801542,one
-0.3,-1.117010721,67.32010059,374.3254449,-0.829791234,2.190778157,one
-0.3,-1.099557429,68.2323591,392.7275519,-0.825173107,2.179289411,one
-0.3,-1.082104136,68.9696333,408.4761875,-0.824355066,2.172330178,one
-0.3,-1.064650844,69.4988063,420.2012357,-0.829705189,2.172684011,one
-0.3,-1.047197551,69.7896527,426.748928,-0.842299096,2.182448505,one
-0.3,-1.029744259,69.82680419,427.6903814,-0.861324218,2.202189246,one
-0.3,-1.012290966,69.6613874,425.0650303,-0.881408068,2.227270597,one
-0.3,-0.994837674,69.29578367,419.2152266,-0.900339386,2.256430162,one
-0.3,-0.977384381,68.52823608,403.6248263,-0.929644079,2.304948428,one
-0.3,-0.959931089,67.29534034,377.3852073,-0.970698463,2.37890242,one
-0.3,-0.942477796,65.49874011,339.304892,-1.029171681,2.49090173,one
-0.3,-0.925024504,63.59539632,303.1894247,-1.087017279,2.608774654,one
-0.3,-0.907571211,61.31275017,262.3067106,-1.164302681,2.766011881,one
-0.3,-0.890117919,58.63217617,218.9887595,-1.25331758,2.967111376,one
-0.3,-0.872664626,55.96370102,182.4525238,-1.327737076,3.166408884,one
-0.3,-0.855211333,53.40868959,151.9888424,-1.407667683,3.37352787,one
-0.3,-0.837758041,50.49612649,121.1646887,-1.497272113,3.629893548,one
-0.3,-0.820304748,47.49938332,94.45913587,-1.577564652,3.894971176,one
-0.3,-0.802851456,44.9606461,78.77201852,-1.503232235,3.887339926,one
-0.3,-0.785398163,42.02314037,60.20695856,-1.51540956,4.031347417,one
-0.3,-0.767944871,39.46336977,51.02430704,-1.2563639,3.595399116,one
-0.3,-0.750491578,37.46857139,45.94594441,-1.028947439,3.147495631,one
-0.3,-0.733038286,35.57484434,40.76886249,-0.908871974,2.80048227,one
-0.3,-0.715584993,33.9241434,40.70150611,-0.649539429,2.234296948,one
-0.3,-0.698131701,32.31773856,34.89501745,-0.654254548,2.179929657,one
-0.3,-0.680678408,31.08740553,39.01581264,-0.384072891,1.827956901,one
-0.3,-0.663225116,29.46666618,28.46029257,-0.536902836,1.904278182,one
-0.3,-0.645771823,28.15854031,23.46231617,-0.619656009,2.0510778,one
-0.3,-0.628318531,26.93678382,20.47818926,-0.699106203,1.953373467,one
-0.3,-0.610865238,25.85478804,14.85036633,-0.755820096,2.309032749,one
-0.3,-0.593411946,24.99595049,10.91458727,-0.913901649,2.846127788,one
-0.3,-0.575958653,24.3104486,13.51306249,-0.836726886,2.229480924,one
-0.3,-0.558505361,23.68445736,12.72348553,-0.831178287,2.242431507,one
-0.3,-0.541052068,22.68636542,9.194657695,-0.960098249,2.582722833,one
-0.3,-0.523598776,21.91294403,7.479633132,-1.062858928,2.953738615,one
-0.3,-0.506145483,21.02263999,6.510266547,-1.165557419,3.123175669,one
-0.3,-0.488692191,20.07062277,5.39495345,-1.268627849,3.316046673,one
-0.3,-0.471238898,19.1884123,4.626409375,-1.322868472,3.473308612,one
-0.3,-0.453785606,18.26929367,3.885380053,-1.41249251,3.66627252,one
-0.3,-0.436332313,17.34223878,3.294463045,-1.450447587,3.776825635,one
-0.3,-0.41887902,16.50308394,3.027713444,-1.272043404,3.545352019,one
-0.3,-0.401425728,15.49502128,2.442094707,-1.072413435,3.644034693,one
-0.3,-0.383972435,14.50755018,2.53036748,-0.718804257,3.399122305,one
-0.3,-0.366519143,13.23402464,2.493226919,-0.111678371,3.904444327,one
-0.3,-0.34906585,11.61802028,2.351954581,1.45713648,7.387565344,one
-0.3,-0.331612558,10.15334142,1.131518821,7.448252604,58.89159601,one
-0.3,-0.314159265,10.32448011,1.07106873,7.381860619,57.90278882,one
-0.3,-0.296705973,10.74958061,0.942359991,7.362255531,57.58332806,one
-0.3,-0.27925268,11.30610468,0.79013035,7.356371992,57.4809511,one
-0.3,-0.261799388,11.87040765,0.651693399,7.32562207,57.06142335,one
-0.3,-0.244346095,12.3924782,0.537674455,7.24295027,55.95955215,one
-0.3,-0.226892803,12.8685134,0.446240684,7.081933142,53.85089528,one
-0.3,-0.20943951,13.31051715,0.37313707,6.812877534,50.39154301,one
-0.3,-0.191986218,13.73320392,0.31481505,6.40936695,45.29826457,one
-0.3,-0.174532925,14.15017823,0.268959378,5.864753692,38.57311365,one
-0.3,-0.157079633,14.57306856,0.234317717,5.222429446,30.90400081,one
-0.3,-0.13962634,15.01169165,0.210665361,4.603324931,23.9457036,one
-0.3,-0.122173048,15.47418645,0.198664829,4.192018832,19.87414607,one
-0.3,-0.104719755,15.96797711,0.199705657,4.116987199,19.60477828,one
-0.3,-0.087266463,16.49922982,0.216128178,4.288026305,21.32574343,one
-0.3,-0.06981317,17.07329387,0.251176493,4.41947432,22.13029209,one
-0.3,-0.052359878,17.69458843,0.309123405,4.272705798,20.9568148,one
-0.3,-0.034906585,18.36781219,0.394896368,3.815886228,18.76711944,one
-0.3,-0.017453293,19.0971338,0.51421988,3.156137798,16.77227816,one
-0.3,0,19.8846077,0.673754222,2.420705933,15.53114159,one
